id,kind,gold_feas,n_feasible,retrieve_satisfy,retrieve_answered,nn_satisfy,penalty_satisfy,min_repair_satisfy,lex_drop_satisfy
s_rho_<=_0.12,single,True,665,True,True,True,True,True,True
s_rho_<=_0.15,single,True,1900,True,True,True,True,True,True
s_rho_<=_0.18,single,True,3515,True,True,True,True,True,True
s_rho_<=_0.2,single,True,5206,True,True,True,True,True,True
s_rho_<=_0.25,single,True,7923,True,True,True,True,True,True
s_rho_<=_0.3,single,True,11647,True,True,True,True,True,True
s_rho_<=_0.4,single,True,18411,True,True,True,True,True,True
s_E_11_>=_20,single,True,14196,True,True,True,True,True,True
s_E_11_>=_40,single,True,7170,True,True,True,True,True,True
s_E_11_>=_50,single,True,5429,True,True,True,True,True,True
s_E_11_>=_80,single,True,2323,True,True,True,True,True,True
s_E_11_>=_100,single,True,1301,True,True,True,True,True,True
s_E_11_>=_150,single,True,98,True,True,True,True,True,True
s_k_11_>=_10,single,True,18057,True,True,True,True,True,True
s_k_11_>=_40,single,True,7161,True,True,True,True,True,True
s_k_11_>=_60,single,True,3627,True,True,True,True,True,True
s_k_11_>=_80,single,True,2273,True,True,True,True,True,True
s_k_11_>=_120,single,True,1013,True,True,True,True,True,True
s_cost_per_kg_<=_3,single,True,4191,True,True,True,False,True,True
s_cost_per_kg_<=_5,single,True,8382,True,True,True,False,True,True
s_cost_per_kg_<=_10,single,True,11176,True,True,True,False,True,True
s_cost_per_kg_<=_40,single,True,19558,True,True,True,True,True,True
s_k_aniso_<=_0.55,single,True,7866,True,True,True,True,True,True
s_k_aniso_<=_0.7,single,True,13471,True,True,True,True,True,True
s_k_aniso_<=_0.9,single,True,19437,True,True,True,True,True,True
s_mass_density_<=_800,single,True,3635,True,True,True,True,True,True
s_mass_density_<=_1200,single,True,7397,True,True,True,True,True,True
s_mass_density_<=_2000,single,True,13210,True,True,True,True,True,True
p_00,pair,False,0,False,False,False,False,False,False
p_01,pair,False,0,False,False,False,False,False,False
p_02,pair,True,67,True,True,True,True,True,True
p_03,pair,False,0,False,False,False,False,False,False
p_04,pair,False,0,False,False,False,False,False,False
p_05,pair,True,108,True,True,True,True,True,True
p_06,pair,False,0,False,False,False,False,False,False
p_07,pair,True,541,True,True,True,True,True,True
p_08,pair,True,2272,True,True,True,True,True,True
p_09,pair,True,935,True,True,True,True,True,True
p_10,pair,False,0,False,False,False,False,False,False
p_11,pair,True,5814,True,True,True,False,True,True
p_12,pair,True,11,True,True,True,False,True,True
p_13,pair,True,3786,True,True,True,True,True,True
p_14,pair,True,4351,True,True,True,True,True,True
p_15,pair,True,145,True,True,True,True,True,True
p_16,pair,True,781,True,True,True,True,True,True
p_17,pair,True,5672,True,True,True,False,True,True
p_18,pair,True,1810,True,True,True,True,True,True
p_19,pair,True,492,True,True,True,True,True,True
t_00,triple,False,0,False,False,False,False,False,False
t_01,triple,False,0,False,False,False,False,False,False
t_02,triple,False,0,False,False,False,False,False,False
t_03,triple,False,0,False,False,False,False,False,False
t_04,triple,False,0,False,False,False,False,False,False
t_05,triple,True,3168,True,True,True,False,True,True
t_06,triple,True,36,True,True,True,True,True,True
t_07,triple,False,0,False,False,False,False,False,False
t_08,triple,False,0,False,False,False,False,False,False
t_09,triple,True,759,True,True,True,False,True,True
t_10,triple,False,0,False,False,False,False,False,False
t_11,triple,False,0,False,False,False,False,False,False
r_cheap_k,ranked,True,4191,True,True,False,False,True,True
r_spreader,ranked,True,3168,True,True,False,False,True,True
r_stiff_light,ranked,True,3336,True,True,False,False,True,True
r_light_stiff,ranked,False,0,False,False,False,False,False,False
